LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/ms),(micron/ms),(micron),(ms),(micron),(micron),(micron),
ID9279 → ID7584,100,9279,7584,0.018121063464629213,0.018195393102205644,0.19370948611833796,1.5496758889467037,908.0,301.1075666837728,46.69345967231584,0.0,
ID4639 → ID2065,100,4639,2065,0.025008201400233823,0.0014403799252471917,0.22534724128963787,1.802777930317103,500.0,364.86854325858894,47.50477562399493,0.0,
ID2989 → ID2174,100,2989,2174,0.38237217039607396,0.004368948723789737,0.18561168070470555,1.4848934456376444,436.0,380.1079678497762,47.7969169726893,0.0,
ID6460 → ID5589,100,6460,5589,0.017498946790077196,0.007924309941349152,0.18923848355295533,1.5139078684236427,716.0,334.0152711686173,47.06476868041668,0.0,
ID7677 → ID7051,100,7677,7051,0.09456286266566669,0.017655007591649303,0.20873388317848096,1.6698710654278477,932.0,296.7222962532599,46.41575671109901,0.0,
ID8734 → ID6197,100,8734,6197,0.003264694701451582,0.00978950648610984,0.14196426147539518,1.1357140918031614,660.0,343.2866882315953,46.333520663130585,0.0,
ID6914 → ID8791,100,6914,8791,0.02468524410653234,0.0018322583493213592,0.08842430887574065,0.7073944710059252,852.0,309.92412288735204,46.46983386305204,0.0,
ID5430 → ID5631,100,5430,5631,0.005265843732758407,0.001837234661047625,0.2750542010251934,2.200433608201547,516.0,360.41264473158463,47.28552796992605,0.0,
ID6045 → ID5822,100,6045,5822,0.10071415271578463,0.01909301272902491,0.06936262883541068,0.5549010306832854,604.0,348.9007080496028,46.20337769534001,0.0,
ID6130 → ID7533,100,6130,7533,0.14107749675363884,0.023733110250178952,0.20509628684110717,1.6407702947288574,948.0,293.37522926449833,46.77359165988486,0.0,
ID7533 → ID7830,100,7533,7830,184.1554283827528,0.020378123002940802,1.900669818806795,15.20535855045436,956.0,285.0214751447744,47.77229491758885,0.0,
ID8651 → ID8470,100,8651,8470,2.6149037239138715,0.0737531114585973,0.09924302579210216,0.7939442063368173,996.0,270.21495207583905,50.07591663734519,0.0,
ID5697 → ID5815,100,5697,5815,0.2824796840685876,0.005990235655050237,0.13191999740715663,1.055359979257253,580.0,351.4763722154893,45.77228988675071,0.0,
